building_id,line_id,lat,lon,peak_load_kW,solar_capacity_kWp,battery_capacity_kWh,battery_power_kW,area,height,has_solar,has_battery,label_A,label_B,label_C,label_D,label_E,label_F,label_G,age_range_1945 - 1964,age_range_1965 - 1974,age_range_1975 - 1991,age_range_1992 - 2005,age_range_2006 - 2014,age_range_2015 and later,age_range_< 1945,building_function_non_residential,building_function_residential
1910571,L0003,1.0312280524511774,-2.0617743929411194,0.006985705068083697,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.0254687263212676,-1.3173026775196395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1910542,L0005,0.12306339619537325,-1.5410209950391214,0.8189918467415702,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.3655978332046084,0.9781203308451376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910591,L0003,1.0273236472209737,-2.4412847010577368,0.8341695316326636,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.050978409337518,0.08234549831254179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1910541,L0005,0.38700118967282227,-1.5367278920061003,0.10184623563741617,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.9319332219283488,-0.2535700638871815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1910577,L0002,-0.7491807319558712,-0.9230288134397788,0.0942573931918696,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.8469009452075136,-1.4852604586195013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1910594,L0003,1.413078883845275,-2.686206229089898,0.16255697520178905,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.821391262191263,-1.4852604586195013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910348,L0001,-0.23614188487241905,-0.5214090247032083,0.04492991729581672,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.8724106282237641,-0.8134293342200543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910536,L0005,0.3838776654919882,-1.0593348347372904,-0.04613619205074254,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.9489396772725159,-0.5894856260869054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910539,L0005,0.5837832132151769,-1.4283270404229393,0.26880076943944153,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.7278557577983443,-0.6454715531201924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1910356,L0001,0.08558110599762214,-0.014178901355121537,0.39781109101373374,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.7023460747820938,1.1460781119449999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
